folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.8439897698209718,0.8363171355498721,0.8363171355498721,0.8081841432225064,0.8081841432225064,0.8516624040920716,0.8414322250639387,0.8005115089514067,0.8158567774936062,0.8184143222506394,0.8056265984654731,0.8209718670076727,0.80306905370844,0.8132992327365729,0.8209718670076727,0.8209718670076727,0.8388746803069054,0.8107416879795396,0.7877237851662404,0.8158567774936062,0.8132992327365729,0.8439897698209718,0.8184143222506394,0.8260869565217391,0.7979539641943734,0.8465473145780051,0.8260869565217391,0.8363171355498721,0.8184143222506394,0.8363171355498721
ArrowHead,0.8628571428571429,0.8457142857142858,0.8857142857142857,0.9028571428571428,0.9257142857142857,0.8857142857142857,0.8971428571428571,0.8857142857142857,0.8628571428571429,0.8971428571428571,0.8342857142857143,0.8857142857142857,0.8171428571428572,0.88,0.8971428571428571,0.8857142857142857,0.8457142857142858,0.8342857142857143,0.8857142857142857,0.88,0.9257142857142857,0.8742857142857143,0.8057142857142857,0.88,0.9314285714285714,0.8742857142857143,0.9371428571428572,0.8857142857142857,0.8971428571428571,0.9028571428571428
Beef,0.6666666666666666,0.7333333333333333,0.7666666666666667,0.7,0.7666666666666667,0.6,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.7,0.6333333333333333,0.8,0.5333333333333333,0.7,0.7666666666666667,0.6666666666666666,0.6333333333333333,0.6,0.8333333333333334,0.6,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.4666666666666667,0.7666666666666667,0.6,0.6666666666666666,0.6666666666666666
BeetleFly,0.85,0.9,0.75,0.9,0.9,0.85,1.0,0.95,0.85,1.0,0.95,0.9,0.8,0.8,0.9,0.95,0.85,0.8,0.95,0.95,0.9,0.9,0.95,0.85,0.95,0.85,0.9,0.95,0.8,0.95
BirdChicken,0.95,0.95,0.85,1.0,1.0,0.95,1.0,0.9,1.0,0.95,0.9,1.0,1.0,0.9,0.95,0.95,1.0,0.95,0.95,1.0,0.95,1.0,1.0,0.85,0.9,0.95,1.0,0.9,1.0,0.85
Car,0.9,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8666666666666667,0.9,0.8833333333333333,0.95,0.9166666666666666,0.9166666666666666,0.8666666666666667,0.8833333333333333,0.9,0.9333333333333333,0.9333333333333333,0.85,0.95,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.8666666666666667,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8666666666666667,0.9166666666666666
CBF,0.9988888888888889,1.0,0.9866666666666667,0.9922222222222222,1.0,0.9877777777777778,0.9988888888888889,0.9966666666666667,0.9944444444444445,1.0,0.9911111111111112,0.9855555555555555,1.0,0.9988888888888889,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9877777777777778,0.9944444444444445,1.0,0.9955555555555555,1.0,0.99,1.0,0.9911111111111112,1.0,0.9988888888888889
ChlorineConcentration,0.8760416666666667,0.8869791666666667,0.8815104166666666,0.8705729166666667,0.8583333333333333,0.8596354166666667,0.8700520833333333,0.8861979166666667,0.8520833333333333,0.83125,0.8669270833333333,0.84609375,0.884375,0.8651041666666667,0.8669270833333333,0.8604166666666667,0.8713541666666667,0.8736979166666666,0.8661458333333333,0.8778645833333333,0.86015625,0.8333333333333334,0.8463541666666666,0.8713541666666667,0.89296875,0.8447916666666667,0.8466145833333333,0.8408854166666667,0.8776041666666666,0.8427083333333333
CinCECGTorso,0.8528985507246377,0.7963768115942029,0.8681159420289855,0.8311594202898551,0.8652173913043478,0.8144927536231884,0.7782608695652173,0.8007246376811594,0.8079710144927537,0.8717391304347826,0.8485507246376811,0.8173913043478261,0.9,0.8021739130434783,0.7608695652173914,0.8543478260869565,0.8681159420289855,0.8557971014492753,0.8050724637681159,0.9028985507246376,0.8297101449275363,0.8746376811594203,0.758695652173913,0.8855072463768116,0.777536231884058,0.8,0.8108695652173913,0.8615942028985507,0.8543478260869565,0.808695652173913
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0
