test_type,distance,channels,length,instances,mean_ms,std_ms,min_ms,max_ms
pairwise_distance,squared,1,100,100,0.39509959970018826,0.030777835099718733,0.34458300069672987,0.42424999992363155
pairwise_distance,squared,5,100,100,0.6021250002959277,0.018956612673114413,0.5864170016138814,0.6387920002453029
pairwise_distance,squared,1,200,100,0.48002499897847883,0.026563944837817682,0.4369999987829942,0.5104999981995206
pairwise_distance,squared,5,200,100,1.0116413999639917,0.04489393309185089,0.9601249985280447,1.0657910024747252
pairwise_distance,squared,1,100,250,1.144483399548335,0.059639128951146245,1.0606249998090789,1.2275000008230563
pairwise_distance,squared,5,100,250,2.667883200047072,0.03293961954770299,2.6244580003549345,2.7184579994354863
pairwise_distance,squared,1,200,250,1.889991599455243,0.1299861499010171,1.6990840013022535,2.077958000882063
pairwise_distance,squared,5,200,250,5.5169170002045576,0.08943159256534104,5.388166999182431,5.605667000054382
pairwise_distance,squared,1,100,500,3.591691800102126,0.07839954400384687,3.479875002085464,3.7190830007602926
pairwise_distance,squared,5,100,500,9.774099999776809,0.10873394349668535,9.637582999857841,9.916499999235384
pairwise_distance,squared,1,200,500,6.033117001061328,0.10312146995092555,5.880625001736917,6.176584000058938
pairwise_distance,squared,5,200,500,20.851750000292668,0.3013123568997484,20.654500000091502,21.448916999361245
pairwise_distance,euclidean,1,100,100,0.3834332004771568,0.023324132974163483,0.34270800097147003,0.4092919989489019
pairwise_distance,euclidean,5,100,100,0.6329497991828248,0.03338288549859041,0.5947079989709891,0.6899999971210491
pairwise_distance,euclidean,1,200,100,0.43687479992513545,0.013166728326921468,0.4160409989708569,0.4523329989751801
pairwise_distance,euclidean,5,200,100,1.0299918001692276,0.03179498320747165,0.9822089996305294,1.0667919996194541
pairwise_distance,euclidean,1,100,250,1.2170920010248665,0.06264033549680259,1.1346249993948732,1.3207090014475398
pairwise_distance,euclidean,5,100,250,2.649091799685266,0.09933588941917877,2.5319579981442075,2.7921250002691522
pairwise_distance,euclidean,1,200,250,1.8856579990824685,0.0783814612632242,1.7737080015649553,1.9623330008471385
pairwise_distance,euclidean,5,200,250,5.376083400187781,0.04083133026259285,5.327917002432514,5.432958001620136
pairwise_distance,euclidean,1,100,500,3.8167835999047384,0.17358670251318956,3.6167090001981705,4.0812909974192735
pairwise_distance,euclidean,5,100,500,10.336000000097556,0.37591684707705914,9.765667000465328,10.81158299712115
pairwise_distance,euclidean,1,200,500,6.072233599115862,0.11390998792104727,5.9431250010675285,6.253916999412468
pairwise_distance,euclidean,5,200,500,20.909525000752183,0.3256142619712935,20.488834001298528,21.35604100112687
pairwise_distance,manhattan,1,100,100,0.3841334008029662,0.02373608976140444,0.3546250009094365,0.42179199954262003
pairwise_distance,manhattan,5,100,100,0.6025166003382765,0.02071707490175617,0.5678749985236209,0.6307500007096678
pairwise_distance,manhattan,1,200,100,0.4122249985812232,0.018829314707297654,0.3977919986937195,0.4488749982556328
pairwise_distance,manhattan,5,200,100,0.9355829992273357,0.05141413363887356,0.8574999992561061,1.0056659994006623
pairwise_distance,manhattan,1,100,250,1.0869084013393149,0.009443056321505026,1.0790420019475278,1.1033750015485566
pairwise_distance,manhattan,5,100,250,2.4358082002436277,0.08835143072068527,2.3345830013568047,2.597750000859378
pairwise_distance,manhattan,1,200,250,1.7517084008431993,0.12734587060885497,1.6057909997471143,1.96795900046709
pairwise_distance,manhattan,5,200,250,4.388358600408537,0.07807236868116937,4.2927920003421605,4.488209000555798
pairwise_distance,manhattan,1,100,500,3.379816599044716,0.06647919373852645,3.276416999142384,3.4630410009413026
pairwise_distance,manhattan,5,100,500,9.485583601053804,0.5305534592563521,9.001834001537645,10.412750001705717
pairwise_distance,manhattan,1,200,500,5.61154999959399,0.18540582727519864,5.2729170020029414,5.8079999980691355
pairwise_distance,manhattan,5,200,500,17.480250199878355,0.1739515764393847,17.225499999767635,17.726499998389045
pairwise_distance,minkowski,1,100,100,3.063633599958848,0.14674170254469765,2.9195419992902316,3.311792002932634
pairwise_distance,minkowski,5,100,100,13.636691799183609,0.20779782238799546,13.379457999690203,13.89624999865191
pairwise_distance,minkowski,1,200,100,5.51605000073323,0.06554262462913187,5.456292001326801,5.59850000354345
pairwise_distance,minkowski,5,200,100,26.124158200400416,0.18003495037381373,25.794541001232574,26.318000000173924
pairwise_distance,minkowski,1,100,250,17.92653299999074,0.14838338662280032,17.74666599885677,18.19837500079302
pairwise_distance,minkowski,5,100,250,85.57212500018068,0.45118729583670425,84.78416700017988,86.12412500224309
pairwise_distance,minkowski,1,200,250,34.061466800631024,0.02944765436651146,34.016999998129904,34.10591700230725
pairwise_distance,minkowski,5,200,250,163.6721002003469,1.0671954678023554,162.1811670011084,165.4421250023006
pairwise_distance,minkowski,1,100,500,72.97599160083337,1.9144245275658325,71.82024999929126,76.7855000012787
pairwise_distance,minkowski,5,100,500,345.02089980014716,1.4873753387180084,342.73379200021736,347.0274579995021
pairwise_distance,minkowski,1,200,500,136.80609980074223,0.448525415470471,136.19795799968415,137.32079200053704
pairwise_distance,minkowski,5,200,500,658.3552666008472,0.9190951433774509,657.0572079981503,659.3468750033935
