series_key,dataset,index,series,type,period,n,h,backend,status,elapsed_seconds,forecast,actual,model_selected,alpha_real,alpha_imag,beta_real,beta_imag,sse,error,finite,smape,mase,mae,rmse
M1:1,M1,1,YAF2,yearly,1,22,6,aeon,ok,0.26477750000776723,"[575014.111701597, 651277.5051665944, 706348.4229229946, 784033.0443080179, 859505.2849687772, 948537.9524599147]","[588568.0, 646758.0, 849998.0, 1106740.0, 1184550.0, 1425090.0]",N,1.4890159760415547,1.160630728304386,,,23984844040.756367,,True,21.263102446109254,7.009454876022781,214337.7814675488,276204.94650582754
M1:2,M1,2,YAF3,yearly,1,23,6,aeon,ok,0.0008680999744683504,"[412159.4603076073, 427166.4597606092, 449932.09787096287, 467756.8688928028, 491454.9237689624, 511958.11262831814]","[425507.0, 471077.0, 578326.0, 648954.0, 658827.0, 598742.0]",N,1.8,1.0843635559082019,,,17754997516.232025,,True,19.186128818523393,4.490664965656726,103500.84612845622,120394.1733048737
M1:3,M1,3,YAF4,yearly,1,23,6,aeon,ok,0.0007889000116847456,"[427249.3760572545, 451611.3363582857, 503855.804384777, 545453.5864191148, 600447.6402786064, 654858.4289103409]","[440716.0, 525201.0, 559479.0, 603419.0, 684536.0, 634477.0]",N,1.5143055175989857,1.1516069121658796,,,9127629445.68413,,True,9.16209882035504,2.7663920598002902,50852.44756871707,57062.79071109615
M1:4,M1,4,YAF5,yearly,1,23,6,aeon,ok,0.0007776000420562923,"[340403.76749324834, 388932.2230245714, 398980.0880798143, 440252.7343985376, 462271.1833020358, 502004.39477787685]","[388275.0, 402869.0, 484266.0, 534545.0, 560496.0, 444027.0]",N,1.6562352333776655,1.1230713387951246,,,25577356071.68478,,True,14.46367164970597,2.124937691232901,66264.73307994491,72640.78250665069
M1:5,M1,5,YAF6,yearly,1,39,6,aeon,ok,0.0007845000363886356,"[22491983.684515063, 22403628.085025936, 23956287.6496023, 24478751.09824655, 25747633.32620895, 26585390.132117674]","[28263900.0, 30435200.0, 35798200.0, 31549500.0, 35724800.0, 47180900.0]",N,1.6241949820518493,1.0665796518325794,,,103476959956478.47,,True,34.38662969501073,8.653068340074139,10548137.670713922,11631612.277748054
M1:6,M1,6,YAF7,yearly,1,25,6,aeon,ok,0.0007792999967932701,"[16951.026082711618, 18118.638667505573, 19735.323738253177, 21326.38357931344, 23122.535176018122, 25034.946550040055]","[16433.0, 20194.3, 23015.0, 23620.5, 24009.0, 28839.5]",N,1.3715899178013202,1.120969558134675,,,18681616.19757822,,True,9.562616736668923,2.1612919465801466,2143.0830619302087,2444.599979576439
M1:7,M1,7,YAF8,yearly,1,10,6,aeon,ok,0.0007676000241190195,"[954099.790207608, 1016484.0222638203, 1131287.5467514598, 1214925.33218894, 1343314.802423497, 1450341.7245164763]","[1089790.0, 1216750.0, 1512060.0, 1570170.0, 1678910.0, 1832130.0]",N,1.8,1.17263488769531,,,26730536626.356968,,True,21.83395312511424,5.208431906995193,298226.13027469977,313073.78096500103
M1:8,M1,8,YAF9,yearly,1,11,6,aeon,ok,0.0008240999886766076,"[666008.8950513708, 709070.7643982081, 743876.6006162348, 789765.0774734309, 830406.7474323683, 880017.6035118173]","[701519.0, 767471.0, 899282.0, 1013150.0, 1142370.0, 1509540.0]",N,1.8,1.1039855957031244,,,11079701987.833866,,True,23.519311228910905,6.6379325776126015,235697.71858609494,308853.4537809253
M1:9,M1,9,YAF10,yearly,1,9,6,aeon,ok,0.0007942999945953488,"[909123.3687278657, 954327.2554396378, 1007132.6518876625, 1058280.577078191, 1115922.1137044115, 1173374.192388001]","[931630.0, 1025350.0, 1315560.0, 1383340.0, 1462760.0, 1604000.0]",N,1.8,1.0978618621826164,,,12107375450.616737,,True,20.11913159733449,5.462131133835734,250746.6401290384,292140.64584872266
M1:10,M1,10,YAF11,yearly,1,30,6,aeon,ok,0.0007894000154919922,"[53.937455685746315, 55.245662393523965, 55.88398410127428, 57.099079299344346, 57.87269546651277, 59.037451750637146]","[52.9599, 56.8199, 58.9998, 56.3499, 52.4999, 55.1999]",N,1.8,1.0312377929687493,,,399.3508906046947,,True,4.639630197973324,0.9735905635383433,2.604522617907057,3.0902306295133504
M1:11,M1,11,YAF12,yearly,1,21,6,aeon,ok,0.0007881000055931509,"[9185.45947506285, 9756.444542953166, 10555.281357909265, 11255.706291543645, 12139.581228456462, 12976.673518527881]","[8117.98, 8640.98, 9736.98, 10204.0, 8052.98, 9743.98]",N,1.7697566239046865,1.1348170286393717,,,747631.686363033,,True,18.5439662454908,5.503409995380019,1895.3744024088785,2284.370584261992
M1:12,M1,12,YAF13,yearly,1,28,6,aeon,ok,0.0007892000139690936,"[1816954.141122699, 2106149.8177520595, 2261021.138333532, 2584825.9376879754, 2806404.7733566216, 3178595.195508677]","[1820390.0, 2127440.0, 2370370.0, 2836800.0, 2938130.0, 3597020.0]",N,1.8,1.2125688552856433,,,72529527567.64833,,True,5.358154259176271,2.3971133118327246,156033.16603973924,211480.50775426204
M1:13,M1,13,YAF14,yearly,1,52,6,aeon,ok,0.0008123000152409077,"[53824.56040200382, 56933.02277227797, 60135.59243918962, 63585.94080863315, 67180.63182586986, 71021.01626698302]","[41229.9, 41090.9, 55845.9, 62426.8, 70832.8, 85633.8]",N,1.7355504226684584,1.1019794762134545,,,269728774.4575827,,True,15.334714673610115,5.8704784902481695,8691.761388208613,10457.972827870493
M1:14,M1,14,YAF15,yearly,1,21,6,aeon,ok,0.0007932999869808555,"[921610.945870846, 978865.9724133116, 1040663.5025885133, 1105511.769996025, 1175134.5421756462, 1248508.9901653968]","[919985.0, 921579.0, 885586.0, 788831.0, 593998.0, 624498.0]",N,1.8,1.116753768920897,,,92265935629.72563,,True,31.345097116535243,5.525153607066248,289303.1205349565,377432.02021505137
M1:15,M1,15,YAF16,yearly,1,12,6,aeon,ok,0.0007722000009380281,"[1113.6046917851868, 1157.7107660349875, 1230.5510496827449, 1284.6864330311666, 1360.8581440425708, 1424.65705316716]","[1128.8, 1319.4, 1709.2, 1412.0, 1729.3, 1817.7]",N,1.8,1.0970947265624984,,,25898.996282822314,,True,17.417747850550487,4.896705432035632,257.3886437093639,306.0283284878682
M1:16,M1,16,YAF17,yearly,1,21,6,aeon,ok,0.0008795000030659139,"[8.793509576680902, 8.993217418561196, 9.214867241280547, 9.427625752880639, 9.657111314404176, 9.88244357880535]","[8.8376, 8.8814, 8.9232, 9.0208, 9.1624, 9.305]",N,1.8,1.0433747291564959,,,0.2742882523902011,,True,3.442361314012483,1.7787094036219524,0.32109262154183477,0.37487874587842634
M1:17,M1,17,YAM1,yearly,1,23,6,aeon,ok,0.0007756000268273056,"[72409.02090251762, 73067.5822334296, 73375.13399550621, 73971.08230298781, 74339.85742765373, 74897.23847164668]","[70845.8, 72951.8, 98107.7, 103942.0, 105244.0, 115841.0]",N,1.8,1.011523437499998,,,2822274033.9851823,,True,23.70459678366437,2.362751513128707,21371.731823025464,26280.126934326683
M1:18,M1,18,YAM2,yearly,1,22,6,aeon,ok,0.0007767999777570367,"[642315.9963337373, 716097.9665052795, 752309.4816642348, 814727.7663504359, 868631.0771123199, 933563.4095445697]","[706620.0, 734453.0, 911262.0, 1055800.0, 1069070.0, 1202480.0]",N,1.4788114076852794,1.1113768994808189,,,110554744352.14644,,True,17.136285048462167,2.8647998881578953,158673.2170815705,182731.83060372097
M1:19,M1,19,YAM3,yearly,1,21,6,aeon,ok,0.0007734000100754201,"[7295.3525130311655, 7483.198766653018, 7843.026490252631, 8078.403600135001, 8438.501030102232, 8715.28021285663]","[7288.07, 9176.6, 10314.6, 10476.6, 11626.8, 11363.3]",N,1.8,1.0699218749999992,,,2915173.510171211,,True,21.942996969705877,5.2894938982463175,2067.795402171942,2305.9683964682267
M1:20,M1,20,YAM4,yearly,1,22,6,aeon,ok,0.0007677999674342573,"[18328.54705350904, 18292.14475000631, 18075.610197573376, 18003.66934213219, 17818.955728461213, 17725.424540259843]","[17167.0, 15288.0, 18788.0, 18003.0, 9844.97, 11698.0]",N,1.8,0.9865970611572245,,,257298175.77742234,,True,21.15418039976006,1.1712674015169497,3146.6935361325363,4297.205912011433
M1:21,M1,21,YAM5,yearly,1,13,6,aeon,ok,0.0007683000294491649,"[26.85623966752179, 25.620529173271596, 25.241493066681688, 24.24004372914539, 23.75582669143155, 22.908820775440557]","[22.7999, 22.2999, 20.5999, 14.5, 6.2, 5.4]",N,1.8,0.9490768432617186,,,268.72884307517774,,True,56.94025798353557,2.314592794439615,9.470542183915429,11.244696256555091
M1:22,M1,22,YAM6,yearly,1,14,6,aeon,ok,0.0007780999876558781,"[2.749767758924875, 2.7600604225960006, 2.7705313554401267, 2.780929687924325, 2.7914573283359854, 2.801952256187357]","[2.7565, 2.7593, 2.762, 2.7681, 2.777, 2.7858]",N,1.8,1.0068024158477806,,,0.0014595254526875235,,True,0.35671539665077995,0.7486178484078605,0.009910548593153287,0.011204135790382331
M1:23,M1,23,YAM7,yearly,1,17,6,aeon,ok,0.0007659000111743808,"[2012.691737150251, 2043.2933457604652, 2099.760741745529, 2136.7662774836485, 2191.612370180576, 2233.674347252757]","[1517.7, 1147.9, 924.398, 729.398, 646.298, 644.598]",N,1.8,1.0402191162109353,,,944083.8692056421,,True,79.90322687872573,7.017420681573526,1184.584469928871,1246.466288266872
M1:24,M1,24,YAM8,yearly,1,13,6,aeon,ok,0.0024470000062137842,"[79.4521268134398, 78.56940864368124, 77.63259121767818, 76.68274935941928, 75.7353614755027, 74.79620354743662]","[65.0998, 57.4999, 51.4999, 44.5999, 40.8999, 39.3999]",N,0.6333299030000914,0.9922827607810445,,,11458.270929273174,,True,44.32212772230497,1.1090974014020836,27.311523509526307,28.368256713496848
M1:25,M1,25,YAM10,yearly,1,22,6,aeon,ok,0.0008122000144794583,"[56.958298059132495, 50.38818046288541, 48.876829758787416, 44.09908767247673, 42.114028355767, 38.46248560209677]","[54.3999, 53.9999, 49.4999, 57.2999, 49.2999, 68.0998]",N,1.8,0.8811859726905833,,,55423.38140646067,,True,18.360794704769685,0.32951143616390577,9.469531034519862,13.688478959105705
M1:26,M1,26,YAM11,yearly,1,13,6,aeon,ok,0.000764199998229742,"[20683667.99614401, 20709290.225560807, 20739528.356689647, 20766136.61638656, 20795722.945723023, 20822992.0879643]","[20371900.0, 21767900.0, 20585900.0, 17439000.0, 18334000.0, 23701900.0]",N,1.8,1.00245294570923,,,56299527068673.96,,True,8.362983767258214,1.120584669838883,1698628.933569689,2107901.1797487964
