series_key,dataset,index,series,type,period,n,h,actual
M1:1,M1,1,YAF2,yearly,1,22,6,"[588568.0, 646758.0, 849998.0, 1106740.0, 1184550.0, 1425090.0]"
M1:2,M1,2,YAF3,yearly,1,23,6,"[425507.0, 471077.0, 578326.0, 648954.0, 658827.0, 598742.0]"
M1:3,M1,3,YAF4,yearly,1,23,6,"[440716.0, 525201.0, 559479.0, 603419.0, 684536.0, 634477.0]"
M1:4,M1,4,YAF5,yearly,1,23,6,"[388275.0, 402869.0, 484266.0, 534545.0, 560496.0, 444027.0]"
M1:5,M1,5,YAF6,yearly,1,39,6,"[28263900.0, 30435200.0, 35798200.0, 31549500.0, 35724800.0, 47180900.0]"
M1:6,M1,6,YAF7,yearly,1,25,6,"[16433.0, 20194.3, 23015.0, 23620.5, 24009.0, 28839.5]"
M1:7,M1,7,YAF8,yearly,1,10,6,"[1089790.0, 1216750.0, 1512060.0, 1570170.0, 1678910.0, 1832130.0]"
M1:8,M1,8,YAF9,yearly,1,11,6,"[701519.0, 767471.0, 899282.0, 1013150.0, 1142370.0, 1509540.0]"
M1:9,M1,9,YAF10,yearly,1,9,6,"[931630.0, 1025350.0, 1315560.0, 1383340.0, 1462760.0, 1604000.0]"
M1:10,M1,10,YAF11,yearly,1,30,6,"[52.9599, 56.8199, 58.9998, 56.3499, 52.4999, 55.1999]"
M1:11,M1,11,YAF12,yearly,1,21,6,"[8117.98, 8640.98, 9736.98, 10204.0, 8052.98, 9743.98]"
M1:12,M1,12,YAF13,yearly,1,28,6,"[1820390.0, 2127440.0, 2370370.0, 2836800.0, 2938130.0, 3597020.0]"
M1:13,M1,13,YAF14,yearly,1,52,6,"[41229.9, 41090.9, 55845.9, 62426.8, 70832.8, 85633.8]"
M1:14,M1,14,YAF15,yearly,1,21,6,"[919985.0, 921579.0, 885586.0, 788831.0, 593998.0, 624498.0]"
M1:15,M1,15,YAF16,yearly,1,12,6,"[1128.8, 1319.4, 1709.2, 1412.0, 1729.3, 1817.7]"
M1:16,M1,16,YAF17,yearly,1,21,6,"[8.8376, 8.8814, 8.9232, 9.0208, 9.1624, 9.305]"
M1:17,M1,17,YAM1,yearly,1,23,6,"[70845.8, 72951.8, 98107.7, 103942.0, 105244.0, 115841.0]"
M1:18,M1,18,YAM2,yearly,1,22,6,"[706620.0, 734453.0, 911262.0, 1055800.0, 1069070.0, 1202480.0]"
M1:19,M1,19,YAM3,yearly,1,21,6,"[7288.07, 9176.6, 10314.6, 10476.6, 11626.8, 11363.3]"
M1:20,M1,20,YAM4,yearly,1,22,6,"[17167.0, 15288.0, 18788.0, 18003.0, 9844.97, 11698.0]"
M1:21,M1,21,YAM5,yearly,1,13,6,"[22.7999, 22.2999, 20.5999, 14.5, 6.2, 5.4]"
M1:22,M1,22,YAM6,yearly,1,14,6,"[2.7565, 2.7593, 2.762, 2.7681, 2.777, 2.7858]"
M1:23,M1,23,YAM7,yearly,1,17,6,"[1517.7, 1147.9, 924.398, 729.398, 646.298, 644.598]"
M1:24,M1,24,YAM8,yearly,1,13,6,"[65.0998, 57.4999, 51.4999, 44.5999, 40.8999, 39.3999]"
M1:25,M1,25,YAM10,yearly,1,22,6,"[54.3999, 53.9999, 49.4999, 57.2999, 49.2999, 68.0998]"
M1:26,M1,26,YAM11,yearly,1,13,6,"[20371900.0, 21767900.0, 20585900.0, 17439000.0, 18334000.0, 23701900.0]"
M1:27,M1,27,YAM12,yearly,1,13,6,"[14394000.0, 14481000.0, 13838000.0, 12577000.0, 12494000.0, 16627000.0]"
M1:28,M1,28,YAM13,yearly,1,33,6,"[2407.99, 2931.99, 4063.99, 2194.99, 1743.0, 7361.98]"
M1:29,M1,29,YAM14,yearly,1,20,6,"[799.998, 809.998, 858.998, 871.998, 884.998, 880.998]"
M1:30,M1,30,YAM15,yearly,1,22,6,"[757.998, 798.998, 857.998, 724.998, 811.998, 843.998]"
M1:31,M1,31,YAM16,yearly,1,22,6,"[89.6998, 91.4998, 112.0, 141.2, 143.4, 130.0]"
M1:32,M1,32,YAM17,yearly,1,14,6,"[189.0, 238.999, 246.999, 248.999, 256.999, 190.0]"
M1:33,M1,33,YAM18,yearly,1,22,6,"[5854.99, 6373.98, 6513.98, 5265.99, 6393.98, 6602.98]"
M1:34,M1,34,YAM19,yearly,1,22,6,"[98.9998, 104.6, 140.5, 145.1, 136.2, 135.9]"
M1:35,M1,35,YAM20,yearly,1,21,6,"[9596.98, 9591.98, 9201.98, 9904.97, 9027.98, 10300.0]"
M1:36,M1,36,YAM21,yearly,1,19,6,"[213.909, 217.369, 240.669, 273.289, 256.069, 274.249]"
M1:37,M1,37,YAM22,yearly,1,22,6,"[93.5998, 90.5998, 105.4, 118.7, 112.8, 122.7]"
M1:38,M1,38,YAM23,yearly,1,22,6,"[11876.0, 12611.0, 13454.0, 13645.0, 14034.0, 14184.0]"
M1:39,M1,39,YAM24,yearly,1,21,6,"[9823.97, 10487.0, 11367.0, 11933.0, 9015.98, 11048.0]"
M1:40,M1,40,YAM25,yearly,1,21,6,"[11582.0, 12341.0, 13033.0, 13644.0, 10406.0, 12351.0]"
M1:41,M1,41,YAM26,yearly,1,21,6,"[29246.9, 31765.9, 34866.9, 31151.9, 25741.9, 35109.9]"
M1:42,M1,42,YAM27,yearly,1,21,6,"[544.999, 673.998, 794.998, 958.998, 1070.0, 1228.0]"
M1:43,M1,43,YAM28,yearly,1,21,6,"[1357.0, 1345.0, 1588.0, 1854.0, 1646.0, 2009.99]"
M1:44,M1,44,YAM29,yearly,1,17,6,"[8099.98, 7549.98, 7108.98, 6851.98, 7394.98, 7394.98]"
M1:45,M1,45,YAM30,yearly,1,47,6,"[68043.8, 64323.8, 81283.8, 93548.8, 95152.8, 102893.0]"
M1:46,M1,46,YAB1,yearly,1,21,6,"[34548.9, 32960.9, 44362.9, 57251.9, 68879.8, 81793.8]"
M1:47,M1,47,YAB2,yearly,1,22,6,"[8574.98, 28734.9, 38913.9, 38526.9, 53029.9, 56167.9]"
M1:48,M1,48,YAB3,yearly,1,19,6,"[476087.0, 504506.0, 666222.0, 706620.0, 734453.0, 910998.0]"
M1:49,M1,49,YAB4,yearly,1,19,6,"[75746.8, 72605.8, 71754.8, 70845.8, 72951.8, 97999.7]"
